ABA Abakan
ABZ Aberdeen
ABJ Abidjan
ADA Adana
AES Alesund
ALC Alicante
ALA Almaty
AMM Amman
AMS Amsterdam
AAQ Anapa
AZN Andijan
AYT Antalya
TSE Astana
ASF Astrakhan
ATH Athens
ASB Ashgabat
EAP Basel
BAK Baku
BKK Bangkok
BAX Barnaul
BCN Barcelona
BUS Batumi
BAH Bahrain
BEY Beirut
BEG Belgrade
BFS Belfast
BGO Bergen
BER Berlin
BLL Billund
BIO Bilbao
BHX Birmingham
BXN Bodrum
BLQ Bologna
BZO Bolzano
BOD Bordeaux
BTS Bratislava
BTK Bratsk
BRE Bremen
BES Brest
BNE Brisbane
BRS Bristol
BRU Brussels
BUD Budapest
BOJ Bourgas
BHK Bukhara
BUH Bucharest
